"l4_pcode","date_start","ch_pcfl","ch_sviol","ch_cviol","st_crctrl","st_tactrl","st_confront","st_destroy","al_nviol","al_viol","time","l1_pcode","l1_ar","l1_en","l2_pcode","l2_ar","l2_en","l3_pcode","l3_ar","l3_en","l4_ar","l4_en","p1","p2","p3"
"C3396",2012-02-01,0,1,0,0,0,0,0,0,0,365,"SY05","حماة","Hama","SY0504","مصياف","Masyaf","SY050402","عوج","Oj","مريمين","Mreimin",0,0,1
"C2524",2012-02-03,0,0,1,0,0,1,0,0,0,367,"SY04","حمص","Homs","SY0401","مركز حمص","Homs","SY040100","مركز حمص","Homs","الدار الكبيرة","Dar Kabira",0,0,1
"C2841",2012-06-23,0,0,1,0,0,1,0,0,0,508,"SY04","حمص","Homs","SY0403","تلكلخ","Tall Kalakh","SY040304","الحواش","Hawash","الحصن","Hisn",0,0,1
"C2841",2012-02-04,0,1,0,0,0,0,0,0,0,368,"SY04","حمص","Homs","SY0403","تلكلخ","Tall Kalakh","SY040304","الحواش","Hawash","الحصن","Hisn",0,0,1
"C2841",2012-06-28,0,0,1,0,0,1,0,0,0,513,"SY04","حمص","Homs","SY0403","تلكلخ","Tall Kalakh","SY040304","الحواش","Hawash","الحصن","Hisn",0,0,1
"C2841",2012-02-16,0,1,0,0,0,0,0,0,0,380,"SY04","حمص","Homs","SY0403","تلكلخ","Tall Kalakh","SY040304","الحواش","Hawash","الحصن","Hisn",0,0,1
"C2841",2012-07-08,0,0,1,0,0,1,0,0,0,523,"SY04","حمص","Homs","SY0403","تلكلخ","Tall Kalakh","SY040304","الحواش","Hawash","الحصن","Hisn",0,0,1
"C2883",2012-02-05,0,0,1,0,0,1,0,0,0,369,"SY04","حمص","Homs","SY0404","الرستن","Ar-Rastan","SY040401","تلبيسة","Talbiseh","أم شرشوح","Um Sharshouh",0,0,1
"C2799",2012-02-07,0,1,0,0,0,0,0,0,0,371,"SY04","حمص","Homs","SY0403","تلكلخ","Tall Kalakh","SY040301","حديدة","Hadideh","الناعورة","Naura",0,0,1
"C6107",2012-02-07,0,0,1,0,0,0,0,0,0,371,"SY12","درعا","Dar'a","SY1203","ازرع","Izra'","SY120300","مركز ازرع","Izra'","محجة","Mahjeh",0,0,1
"C3981",2012-02-08,0,0,1,0,0,1,0,0,0,372,"SY07","إدلب","Idleb","SY0702","معرة النعمان","Al Ma'ra","SY070200","مركز معرة النعمان","Ma'arrat An Nu'man","معر شمشه","Maar Shamsheh",0,0,1
"C3981",2012-07-18,0,0,1,0,0,1,0,0,0,533,"SY07","إدلب","Idleb","SY0702","معرة النعمان","Al Ma'ra","SY070200","مركز معرة النعمان","Ma'arrat An Nu'man","معر شمشه","Maar Shamsheh",0,0,1
"C2335",2012-02-12,0,0,1,0,1,0,0,0,0,376,"SY03","ريف دمشق","Rural Damascus","SY0302","دوما","Duma","SY030200","مركز دوما","Duma","تل الصوان","Tal Elswan",0,0,1
"C1022",2012-06-21,0,0,0,0,0,0,1,0,0,506,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020001","أتارب","Atareb","الأتارب","Atareb",0,0,1
"C1022",2012-02-14,0,0,1,0,0,1,1,0,0,378,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020001","أتارب","Atareb","الأتارب","Atareb",0,0,1
"C1022",2012-05-23,0,0,1,0,0,1,0,0,0,477,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020001","أتارب","Atareb","الأتارب","Atareb",0,0,1
"C1022",2012-05-29,0,0,0,0,1,0,0,0,0,483,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020001","أتارب","Atareb","الأتارب","Atareb",0,0,1
"C1022",2012-06-28,0,0,0,0,1,0,0,0,0,513,"SY02","حلب","Aleppo","SY0200","جبل سمعان","Jebel Saman","SY020001","أتارب","Atareb","الأتارب","Atareb",0,0,1
"C3037",2012-02-14,0,1,0,0,0,0,0,0,0,378,"SY05","حماة","Hama","SY0501","مركز حماة","Hama","SY050101","صوران","Suran","كوكب","Kawkab",0,0,1
