"","pre_post","post_arrest","actor_type","hits","arrest_length_factor","followers_factor","time","gtrends_online"
"760",13,"1",NA,56,NA,NA,"early",NA
"761",14,"1",NA,38,NA,NA,"early",NA
"762",15,"1",NA,34,NA,NA,"early",NA
"763",16,"1",NA,15,NA,NA,"early",NA
"764",17,"1",NA,32,NA,NA,"early",NA
"765",18,"1",NA,12,NA,NA,"early",NA
"766",19,"1",NA,39,NA,NA,"early",NA
"767",20,"1",NA,30,NA,NA,"early",NA
"768",21,"1",NA,34,NA,NA,"early",NA
"769",22,"1",NA,11,NA,NA,"early",NA
"770",23,"1",NA,14,NA,NA,"early",NA
"771",24,"1",NA,12,NA,NA,"early",NA
"772",25,"1",NA,33,NA,NA,"early",NA
"773",26,"1",NA,35,NA,NA,"early",NA
"774",27,"1",NA,15,NA,NA,"early",NA
"775",28,"1",NA,35,NA,NA,"early",NA
"776",29,"1",NA,15,NA,NA,"early",NA
"777",30,"1",NA,11,NA,NA,"early",NA
"778",-30,"0",NA,4,NA,NA,"late",NA
"779",-29,"0",NA,4,NA,NA,"late",NA
"780",-28,"0",NA,2,NA,NA,"late",NA
"781",-27,"0",NA,3,NA,NA,"late",NA
"782",-26,"0",NA,3,NA,NA,"late",NA
"783",-25,"0",NA,2,NA,NA,"late",NA
"784",-24,"0",NA,5,NA,NA,"late",NA
"785",-23,"0",NA,4,NA,NA,"late",NA
"786",-22,"0",NA,4,NA,NA,"late",NA
"787",-21,"0",NA,3,NA,NA,"late",NA
"788",-20,"0",NA,4,NA,NA,"late",NA
"789",-19,"0",NA,5,NA,NA,"late",NA
"790",-18,"0",NA,2,NA,NA,"late",NA
"791",-17,"0",NA,3,NA,NA,"late",NA
"792",-16,"0",NA,2,NA,NA,"late",NA
"793",-15,"0",NA,4,NA,NA,"late",NA
"794",-14,"0",NA,1,NA,NA,"late",NA
"795",-13,"0",NA,3,NA,NA,"late",NA
"796",-12,"0",NA,4,NA,NA,"late",NA
"797",-11,"0",NA,3,NA,NA,"late",NA
"798",-10,"0",NA,3,NA,NA,"late",NA
"799",-9,"0",NA,14,NA,NA,"late",NA
"800",-8,"0",NA,14,NA,NA,"late",NA
"801",-7,"0",NA,4,NA,NA,"late",NA
"802",-6,"0",NA,1,NA,NA,"late",NA
"803",-5,"0",NA,2,NA,NA,"late",NA
"804",-4,"0",NA,1,NA,NA,"late",NA
"805",-3,"0",NA,3,NA,NA,"late",NA
"806",-2,"0",NA,100,NA,NA,"late",NA
"807",-1,"0",NA,73,NA,NA,"late",NA
"808",0,"1",NA,76,NA,NA,"late",NA
"809",1,"1",NA,227,NA,NA,"late",NA
"810",2,"1",NA,33,NA,NA,"late",NA
"811",3,"1",NA,19,NA,NA,"late",NA
"812",4,"1",NA,13,NA,NA,"late",NA
"813",5,"1",NA,12,NA,NA,"late",NA
"814",6,"1",NA,20,NA,NA,"late",NA
"815",7,"1",NA,16,NA,NA,"late",NA
"816",8,"1",NA,3,NA,NA,"late",NA
"817",9,"1",NA,4,NA,NA,"late",NA
"818",10,"1",NA,5,NA,NA,"late",NA
"819",11,"1",NA,9,NA,NA,"late",NA
"820",12,"1",NA,7,NA,NA,"late",NA
"821",13,"1",NA,4,NA,NA,"late",NA
"822",14,"1",NA,3,NA,NA,"late",NA
"823",15,"1",NA,4,NA,NA,"late",NA
"824",16,"1",NA,5,NA,NA,"late",NA
"825",17,"1",NA,3,NA,NA,"late",NA
"826",18,"1",NA,8,NA,NA,"late",NA
"827",19,"1",NA,8,NA,NA,"late",NA
"828",20,"1",NA,7,NA,NA,"late",NA
"829",21,"1",NA,1,NA,NA,"late",NA
"830",22,"1",NA,3,NA,NA,"late",NA
"831",23,"1",NA,2,NA,NA,"late",NA
"832",24,"1",NA,4,NA,NA,"late",NA
"833",25,"1",NA,3,NA,NA,"late",NA
"834",26,"1",NA,6,NA,NA,"late",NA
"835",27,"1",NA,8,NA,NA,"late",NA
"836",28,"1",NA,3,NA,NA,"late",NA
"837",29,"1",NA,1,NA,NA,"late",NA
"838",30,"1",NA,1,NA,NA,"late",NA
"839",-30,"0",NA,30,NA,NA,"mid",NA
"840",-29,"0",NA,57,NA,NA,"mid",NA
"841",-28,"0",NA,48,NA,NA,"mid",NA
"842",-27,"0",NA,58,NA,NA,"mid",NA
"843",-26,"0",NA,22,NA,NA,"mid",NA
"844",-25,"0",NA,10,NA,NA,"mid",NA
"845",-24,"0",NA,45,NA,NA,"mid",NA
"846",-23,"0",NA,30,NA,NA,"mid",NA
"847",-22,"0",NA,47,NA,NA,"mid",NA
"848",-21,"0",NA,68,NA,NA,"mid",NA
"849",-20,"0",NA,19,NA,NA,"mid",NA
"850",-19,"0",NA,5,NA,NA,"mid",NA
"851",-18,"0",NA,46,NA,NA,"mid",NA
"852",-17,"0",NA,49,NA,NA,"mid",NA
"853",-16,"0",NA,6,NA,NA,"mid",NA
"854",-15,"0",NA,33,NA,NA,"mid",NA
"855",-14,"0",NA,31,NA,NA,"mid",NA
"856",-13,"0",NA,32,NA,NA,"mid",NA
"857",-12,"0",NA,29,NA,NA,"mid",NA
"858",-11,"0",NA,61,NA,NA,"mid",NA
"859",-10,"0",NA,205,NA,NA,"mid",NA
"860",-9,"0",NA,315,NA,NA,"mid",NA
"861",-8,"0",NA,152,NA,NA,"mid",NA
"862",-7,"0",NA,142,NA,NA,"mid",NA
"863",-6,"0",NA,115,NA,NA,"mid",NA
"864",-5,"0",NA,146,NA,NA,"mid",NA
"865",-4,"0",NA,61,NA,NA,"mid",NA
"866",-3,"0",NA,162,NA,NA,"mid",NA
"867",-2,"0",NA,147,NA,NA,"mid",NA
"868",-1,"0",NA,105,NA,NA,"mid",NA
"869",0,"1",NA,159,NA,NA,"mid",NA
"870",1,"1",NA,104,NA,NA,"mid",NA
"871",2,"1",NA,194,NA,NA,"mid",NA
"872",3,"1",NA,271,NA,NA,"mid",NA
"873",4,"1",NA,220,NA,NA,"mid",NA
"874",5,"1",NA,144,NA,NA,"mid",NA
"875",6,"1",NA,70,NA,NA,"mid",NA
"876",7,"1",NA,107,NA,NA,"mid",NA
"877",8,"1",NA,59,NA,NA,"mid",NA
"878",9,"1",NA,98,NA,NA,"mid",NA
"879",10,"1",NA,83,NA,NA,"mid",NA
"880",11,"1",NA,54,NA,NA,"mid",NA
"881",12,"1",NA,30,NA,NA,"mid",NA
"882",13,"1",NA,64,NA,NA,"mid",NA
"883",14,"1",NA,65,NA,NA,"mid",NA
"884",15,"1",NA,57,NA,NA,"mid",NA
"885",16,"1",NA,80,NA,NA,"mid",NA
"886",17,"1",NA,60,NA,NA,"mid",NA
"887",18,"1",NA,27,NA,NA,"mid",NA
"888",19,"1",NA,23,NA,NA,"mid",NA
"889",20,"1",NA,9,NA,NA,"mid",NA
"890",21,"1",NA,34,NA,NA,"mid",NA
"891",22,"1",NA,23,NA,NA,"mid",NA
"892",23,"1",NA,19,NA,NA,"mid",NA
"893",24,"1",NA,33,NA,NA,"mid",NA
"894",25,"1",NA,17,NA,NA,"mid",NA
"895",26,"1",NA,13,NA,NA,"mid",NA
"896",27,"1",NA,46,NA,NA,"mid",NA
"897",28,"1",NA,10,NA,NA,"mid",NA
"898",29,"1",NA,11,NA,NA,"mid",NA
"899",30,"1",NA,84,NA,NA,"mid",NA
