"","STIAT.test","STIAT.practice","approve_abdel_rev","democracy1","democracy2","democracy3","democracy4","democracy5","edu","frisun_services","gender","income","list_1a","list_1b","list_2a","list_2b","list2a.clean","list2b.clean","religion","direct.support","implicit.support","rel_christian","rel_muslim","work_govemp","location","region","islamist","liberal"
"240",-0.113461172,0.095385468,1,2,3,2,4,4,5,4,1,2,0,0,0,1,NA,1,1,0,0,0,1,0,"alexandria","alex",0,1
"241",-0.580039865,-0.31987166,3,2,3,2,4,4,5,2,1,1,0,0,0,3,NA,3,2,1,0,1,0,0,"alexandria","alex",0,1
"242",-0.29569826,-0.330768389,NA,1,3,1,4,4,5,1,1,3,0,0,0,0,NA,NA,1,NA,0,0,1,0,"cairo","cairo",0,1
"243",0.580218708,0.307943564,3,2,3,2,3,4,3,3,1,2,0,0,0,0,NA,NA,1,1,1,0,1,0,"beheira","delta",0,1
"244",-0.022342354,0.355936267,NA,2,2,2,3,2,5,1,1,2,0,0,2,0,2,NA,1,NA,0,0,1,1,"qena","upper",0,0
"245",0.542027809,0.437361359,NA,3,3,3,NA,NA,5,1,1,4,0,0,3,0,3,NA,1,NA,1,0,1,0,"cairo","cairo",NA,NA
"246",0.02449376,0.287773325,2,2,2,2,4,3,5,3,1,1,0,0,0,2,NA,2,1,0,1,0,1,0,"dakahlia","delta",0,1
"247",0.406214371,0.515943937,3,1,1,1,1,1,6,1,1,1,0,0,0,0,NA,NA,1,1,1,0,1,0,"alexandria","alex",1,0
"248",0.345709314,0.027552647,3,1,4,3,NA,4,5,1,1,2,0,0,3,0,3,NA,1,1,1,0,1,0,"gharbia","delta",0,1
"249",0.256646851,0.340971894,3,3,2,3,4,4,5,2,1,1,0,0,3,0,3,NA,2,1,1,1,0,0,"cairo","cairo",0,0
"250",0.008776289,0.30615016,3,2,3,2,3,3,3,1,1,3,0,0,0,2,NA,2,1,1,1,0,1,0,"giza","cairo",0,0
"251",0.454110071,0.372562505,3,3,NA,2,3,3,4,2,1,3,0,0,0,3,NA,3,1,1,1,0,1,0,"beheira","delta",0,0
"252",-0.190993229,0.218783682,3,2,3,2,1,3,5,4,1,4,0,0,0,0,NA,NA,1,1,0,0,1,0,"cairo","cairo",1,0
"253",-0.479679296,0.585322094,2,2,2,1,3,4,5,3,1,3,0,0,3,0,3,NA,1,0,0,0,1,1,"giza","cairo",0,1
"254",0.32589177,0.450353478,3,1,1,1,2,4,5,1,1,1,0,0,0,2,NA,2,1,1,1,0,1,1,"alexandria","alex",0,0
"255",0.144656881,-0.275342641,2,3,2,3,3,2,4,2,1,3,0,0,0,0,NA,NA,1,0,1,0,1,0,"cairo","cairo",0,0
"256",-0.084233714,0.485506311,2,2,3,2,4,3,6,1,1,3,0,0,0,2,NA,2,1,0,0,0,1,0,"alexandria","alex",0,1
"257",0.381678836,-0.061048939,2,3,4,2,1,3,5,1,1,3,0,0,0,0,NA,NA,1,0,1,0,1,0,"cairo","cairo",1,0
"258",0.165861119,-0.29016045,3,2,4,2,4,3,6,1,1,2,0,0,0,0,NA,NA,1,1,1,0,1,0,"cairo","cairo",0,1
"259",0.287027727,-0.049332931,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,"damietta","delta",NA,NA
"260",0.081790509,0.322227225,2,3,2,2,1,3,3,2,2,3,0,0,0,3,NA,3,1,0,1,0,1,0,"cairo","cairo",1,0
"261",0.168406451,0.370329221,3,3,2,2,4,4,5,1,1,2,0,0,1,0,1,NA,2,1,1,1,0,0,"gharbia","delta",0,0
"262",0.006909842,-0.122858231,NA,NA,NA,2,2,NA,4,1,1,3,0,0,0,0,NA,0,1,NA,1,0,1,0,"qena","upper",1,0
"263",0.316835445,0.447353661,NA,2,3,2,3,4,4,1,1,2,0,0,2,0,2,NA,1,NA,1,0,1,0,"redsea","desert",0,1
"264",-0.164785714,-0.357905078,NA,NA,NA,NA,NA,NA,4,1,1,3,0,0,2,0,2,NA,1,NA,0,0,1,0,"cairo","cairo",NA,NA
"265",-0.088457539,0.743290055,NA,2,3,2,3,4,4,1,1,2,0,0,0,2,NA,2,1,NA,0,0,1,0,"redsea","desert",0,1
"266",0.195343664,0.150116271,3,1,3,1,NA,3,4,4,2,3,0,0,0,0,NA,NA,1,1,1,0,1,0,"cairo","cairo",0,0
"267",0.218944466,-0.332053766,1,2,3,2,1,2,5,1,1,2,0,0,0,NA,NA,NA,1,0,1,0,1,0,"asyut","upper",1,0
"268",0.131261965,0.437132811,1,2,3,2,1,2,5,1,1,2,0,0,NA,0,NA,NA,1,0,1,0,1,0,"asyut","upper",1,0
"269",0.467272639,-0.362141252,3,2,3,1,3,3,3,1,1,3,0,0,0,1,NA,1,1,1,1,0,1,0,"dakahlia","delta",0,0
"270",-0.019740448,-0.085104281,3,3,3,3,4,4,5,1,1,1,0,0,0,3,NA,3,1,1,0,0,1,0,"sohag","upper",0,0
"271",0.42975491,0.725609959,3,2,3,2,3,3,5,1,1,3,0,0,0,0,NA,NA,1,1,1,0,1,0,"beheira","delta",0,0
"272",0.343338075,0.266168193,1,2,3,2,3,3,6,1,2,1,0,0,1,0,1,NA,1,0,1,0,1,1,"cairo","cairo",0,0
"273",-0.295622285,-0.323330605,1,2,4,2,2,3,5,3,2,2,0,0,0,0,NA,NA,1,0,0,0,1,0,"cairo","cairo",0,0
"274",0.242282053,0.56181376,3,3,2,2,4,4,5,2,1,2,0,0,2,0,2,NA,2,1,1,1,0,0,"gharbia","delta",0,0
"275",0.004355423,0.282842404,4,1,4,1,4,4,5,1,1,2,0,0,0,2,NA,2,1,1,1,0,1,0,"cairo","cairo",0,1
"276",0.00092299,0.209016173,2,2,2,2,2,4,4,3,1,1,0,0,2,0,2,NA,1,0,1,0,1,1,"northsinai","desert",0,0
"277",-0.067628809,-0.071385023,2,2,3,2,2,2,5,3,1,1,0,0,0,0,0,NA,1,0,0,0,1,0,"giza","cairo",1,0
"278",0.14028475,0.317904722,2,3,4,4,3,3,5,2,1,1,0,0,2,0,2,NA,1,0,1,0,1,0,"giza","cairo",0,0
"279",0.345739512,-0.010278483,4,1,1,1,3,3,5,4,2,1,0,0,0,0,NA,NA,1,1,1,0,1,0,"alexandria","alex",0,0
"280",-0.074634333,-0.25853535,2,2,NA,2,4,4,6,3,2,4,0,0,0,3,NA,3,1,0,0,0,1,0,"dakahlia","delta",0,1
"281",0.27095105,0.707688437,4,2,3,2,3,3,5,4,2,2,0,0,1,0,1,NA,1,1,1,0,1,0,"monufia","delta",0,0
"282",0.358761654,0.139944133,3,NA,NA,NA,NA,NA,5,NA,2,2,0,0,4,0,4,NA,1,1,1,0,1,0,"cairo","cairo",NA,NA
"283",-0.064646581,0.095473932,NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,0,NA,NA,NA,1,NA,0,0,1,0,"damietta","delta",NA,NA
"284",-0.652718995,0.044516808,NA,NA,NA,NA,NA,NA,4,1,1,NA,0,0,0,1,NA,1,1,NA,0,0,1,0,"giza","cairo",NA,NA
"285",0.245564745,-0.30840405,2,4,2,3,4,4,5,1,1,3,0,0,0,0,NA,0,1,0,1,0,1,0,"alexandria","alex",0,0
"286",0.314374877,-0.092810645,2,3,3,2,4,4,5,1,1,3,0,0,0,0,NA,NA,1,0,1,0,1,0,"alexandria","alex",0,0
